中央频道,#genre#
广东影视,http://171.108.239.77:8181/tsfile/live/1002_1.m3u8
广西影视,http://171.108.239.82:8181/tsfile/live/1032_1.m3u8
广西影视,http://171.108.239.76:8181/tsfile/live/1097_1.m3u8
广西影视,http://171.108.239.73:8181/tsfile/live/1097_1.m3u8
广西影视,http://171.108.239.77:8181/tsfile/live/1097_1.m3u8
广西影视,http://171.108.239.74:8181/tsfile/live/1097_1.m3u8
广西新闻,http://171.108.239.73:8181/tsfile/live/1107_1.m3u8
广西新闻,http://171.108.239.74:8181/tsfile/live/1107_1.m3u8
广西新闻,http://171.108.239.76:8181/tsfile/live/1107_1.m3u8
广西新闻,http://171.108.239.77:8181/tsfile/live/1107_1.m3u8
广西综艺,http://171.108.239.74:8181/tsfile/live/1000_1.m3u8
广西综艺,http://171.108.239.76:8181/tsfile/live/1000_1.m3u8
广西综艺,http://171.108.239.82:8181/tsfile/live/1005_1.m3u8
广西综艺,http://171.108.239.77:8181/tsfile/live/1000_1.m3u8
广西都市,http://171.108.239.73:8181/tsfile/live/1106_1.m3u8
广西都市,http://171.108.239.76:8181/tsfile/live/1106_1.m3u8
广西都市,http://171.108.239.74:8181/tsfile/live/1106_1.m3u8
广西都市,http://171.108.239.77:8181/tsfile/live/1106_1.m3u8
杭州影视,http://124.90.208.196:9901/tsfile/live/0124_2.m3u8
杭州明珠,http://124.90.208.196:9901/tsfile/live/0116_1.m3u8
杭州生活,http://124.90.208.196:9901/tsfile/live/0135_1.m3u8
杭州综合,http://124.90.208.196:9901/tsfile/live/0121_1.m3u8
杭州青少,http://124.90.208.196:9901/tsfile/live/0137_1.m3u8
河北公共,http://121.19.134.142:808/tsfile/live/1004_1.m3u8
河北公共,http://121.19.134.13:808/tsfile/live/1004_1.m3u8
河北农民,http://121.19.134.142:808/tsfile/live/1005_1.m3u8
河北农民,http://121.19.134.13:808/tsfile/live/1005_1.m3u8
河北少儿科教,http://121.19.134.142:808/tsfile/live/1003_1.m3u8
河北少儿科教,http://121.19.134.13:808/tsfile/live/1003_1.m3u8
河北影视,http://121.19.134.13:808/tsfile/live/1002_1.m3u8
河北影视,http://121.19.134.142:808/tsfile/live/1002_1.m3u8
河北经济生活,http://121.19.134.142:808/tsfile/live/1000_1.m3u8
